commodity,date,open,high,low,close,change,change_percent,weight_price,turnover_volume,turnover_value,open_interest,delivery_side,delivery_volume
AG9999,2017-12-28,3806.0,3806.0,3806.0,3806.0,40.0,0.0106,3806.0,600.0,2283600.0,40.0,,
AG9999,2017-12-27,3766.0,3766.0,3766.0,3766.0,6.0,0.0016,3766.0,270.0,1016820.0,18.0,,
AG9999,2017-12-26,3760.0,3760.0,3760.0,3760.0,54.0,0.0146,3760.0,6030.0,22672800.0,402.0,,
AG9999,2017-12-22,3706.0,3706.0,3706.0,3706.0,-4.0,-0.0011,3706.0,450.0,1667700.0,30.0,,
AG9999,2017-12-21,3710.0,3710.0,3710.0,3710.0,0.0,0.0,3710.0,210.0,779100.0,14.0,,
AG9999,2017-12-20,3710.0,3710.0,3710.0,3710.0,-10.0,-0.0027,3710.0,480.0,1780800.0,32.0,,
AG9999,2017-12-19,3720.0,3720.0,3720.0,3720.0,12.0,0.0032,3720.0,210.0,781200.0,14.0,,
AG9999,2017-12-18,3708.0,3708.0,3708.0,3708.0,3.0,0.0008,3708.0,6450.0,23916600.0,430.0,,
AG9999,2017-12-14,3705.0,3705.0,3705.0,3705.0,73.0,0.0201,3705.0,1110.0,4112550.0,74.0,,
AG9999,2017-12-13,3632.0,3632.0,3632.0,3632.0,-4.0,-0.0011,3632.0,6690.0,24298080.0,446.0,,
AG9999,2017-12-12,3636.0,3636.0,3636.0,3636.0,-8.0,-0.0022,3636.0,2100.0,7635600.0,140.0,,
AG9999,2017-12-11,3643.0,3649.0,3643.0,3644.0,16.0,0.0044,3644.0,9840.0,35864400.0,656.0,,
AG9999,2017-12-08,3628.0,3628.0,3628.0,3628.0,-75.0,-0.0203,3628.0,4830.0,17523240.0,322.0,,
AG9999,2017-12-06,3703.0,3703.0,3703.0,3703.0,-45.0,-0.012,3703.0,6000.0,22218000.0,400.0,,
AG9999,2017-12-04,3748.0,3748.0,3748.0,3748.0,-7.0,-0.0019,3748.0,270.0,1011960.0,18.0,,
